Protein.Group	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_03k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_05k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_12k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_24k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_79k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_03k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_05k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_12k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_24k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_79k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_03k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_05k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_12k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_24k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_79k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_03k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_05k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_12k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_24k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_79k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_03k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_05k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_12k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_24k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_79k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_03k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_05k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_12k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_24k_Rep_2	20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_79k_Rep_2
A0A096LP01	3000114	1245860.75	NA	NA	NA	2787660.5	2379484.5	NA	NA	NA	3383157	2691618.5	NA	NA	NA	3412945	2719028.25	NA	NA	NA	2427371.75	3112386.25	NA	NA	NA	3185097	1487493.25	NA	NA	NA
A0AV96	444859.2188	704756.5	3425534.5	4282439	2955940.75	2116094	1568794.75	1488392.875	4809955	2859876.5	1601095.25	1549022.375	2293507.75	3554049.25	2346646	1184941	2524886	1509692.875	2335732.25	4389568	2164301.5	2551108.75	1798593	2516727	3025456.5	1308758.75	858170.8125	3301429.5	2810022	4241876.5
A0AVT1	9642720	4000604.25	3982066	6951909.5	4330641	13460798	5777877	3920845.25	6603404	6838798	16143629	7448710	5152765	6222226	4494511.5	12064148	7131455.5	3201451.75	4797681.5	5311885.5	9336052	8153289	5047006.5	5875523.5	6224705.5	12003632	4516783.5	4589881	5410898.5	6115280
A0FGR8	52303532	73642352	126682208	74606648	23049060	58460456	101307680	125759776	73928000	18627342	69383456	116296416	134733680	69521544	17587098	80342576	112402080	93841624	42871968	29469216	61522844	132826600	109986392	51460272	24217810	64546252	64864780	135922816	56514384	31505364
A0JNW5	2980307	829089.4375	485821.5313	1359180.25	2521285.75	3649091.5	1464129.75	972177.625	1055118.25	1355419.5	4463661	1777205.625	1160159.25	1547809.375	791429.75	4231672	861853.125	274916.5625	800210.875	1258832.5	3041417.75	1256542.25	3309902	935432.875	4536663	3242497	593636	483282.4688	2065541.75	1747360.125
A0MZ66	6337088	2383472.25	2078462.5	3647064.75	2893930.75	8127511.5	3368328	2243021.5	3073046.75	2695518.5	9721915	4326301.5	2488996	2966691.5	2136918.75	7966842	3892813	1483918.875	2159725.25	2547940	6138362	4522216	2361018	2651570.5	2954062.75	7767730.5	2568725	2451836.75	2594838	2981347
A0PJW6	9459392	4947638.5	1551989.625	NA	NA	9921260	8348058	1833549.75	NA	NA	12569239	10006875	1727257.5	NA	NA	11935184	11511210	1444211.75	NA	NA	10183742	13259563	1206440.25	NA	NA	11789880	5031950.5	1461330.25	NA	NA
A1A4S6	6990053	2767279	5049339.5	NA	3646384.75	7388562.5	4609660	3821571.25	4072014.25	4638147.5	8707195	6949004.5	5134275	5172127	4766549	6175773.5	5066009	1851368.875	3694735.25	3437951.75	5608110	4673046.5	5200100.5	4804757	NA	7673255	2935211	NA	4640626.5	NA
A1L0T0	12171517	19651800	36534452	17836576	1740160.125	26720714	27700056	35475824	24761206	2056519.75	10483498	31210222	36873044	20323136	3662717	9576438	30246088	29656668	15222470	1901484.875	20892488	36617668	38765616	15561278	1760401.75	13320149	19899906	43751308	17265252	2410141
A1L170	5844627	1748378.125	1006076.188	NA	NA	6654253.5	2463692.25	1061800.125	NA	NA	7805495	2860764.5	1219260.125	NA	NA	6896168	2127213.25	748725.625	NA	NA	8198646.5	2569084.25	NA	NA	NA	6316538.5	1512662.75	1034767.5	NA	NA
A1L188	2096129.25	1135055.625	NA	NA	NA	2025488.75	1612009.25	NA	NA	NA	2422333	2143531	NA	NA	NA	2739210.5	2084740.375	NA	NA	NA	2152230.5	2562229.5	NA	NA	NA	2651758.5	1181358.625	NA	NA	NA
A1L390	345051.4063	56717.66016	NA	NA	NA	439088.0313	NA	NA	NA	NA	432029.5625	205390.2188	NA	NA	NA	514594.0938	NA	NA	NA	NA	424736.7188	NA	NA	NA	NA	453023.5938	80003.67969	NA	NA	NA
A2A288	1426507.75	981718.1875	2756907.5	3455015	1209395.5	1769631.75	1512126.625	1782520.625	2476642	2018696.75	2660635.5	2027745.25	1367788.75	2179813	2206025.75	1587006.5	3014374.5	1118107.125	1016655.313	2803918.75	1576543.875	3890084	1745392.25	2338290.75	2548742.25	1835472.625	866953.75	2817264.75	1765222.5	1835784.125
A2RRP1	15040538	13159892	16764939	10819685	7535184	15250068	19550848	21471980	12677154	7078700.5	8399138	22637306	23891262	12714316	5620956.5	17936628	25248828	15845518	6709300.5	8719954	13231162	28492228	15431503	6797212.5	8539607	17671724	12925679	23775936	7614820.5	9056995
A2RUS2	48753332	53596640	1976945.125	45968136	27702700	48264864	89194440	2753273.5	64814432	23729258	55020308	103463008	113175256	48558452	21162590	56066988	93960000	2143714	23828702	33620576	45427120	118580072	2697581	34273008	28204778	48119004	46462784	121803448	33957248	5755398.5
A2VDJ0	2160469	2158018.5	6030563.5	2312265	590981.6875	1225501.75	2990047.75	5227050.5	2559430	481656.3438	2191456	3594277.25	4794296	1972242	300039.25	1439019.5	4350493	3525104.25	1310712.5	2053813.5	2287042.75	4628150	4142178.5	1664800.625	387699.5	1373600.5	1801720.375	4419027	1704035.875	2169428
A3KMH1	6193231	2900776.25	1640137.375	NA	NA	5762396	5153337.5	577384.4375	NA	NA	6330615	4912208	1621090.625	NA	NA	7431318.5	6600042	1229850.625	1607971.125	NA	5657802	5516356	1841954.375	NA	NA	7968581	2592743.5	NA	NA	NA
A3KN83	248819.5313	245374.8438	530033.25	1270700.25	1808288.375	346201.7813	337814.25	277474.9375	1766885.25	2009286	1086693.625	457732	NA	1699636.875	1117985.375	340890.1875	776317.8125	438899.3125	1275013.5	2120098	1225463.625	402044.6875	350290.6875	726130.5	1570459.25	400603	317221.5938	835763.5	1688779.25	2274002.25
