Protein.Group	Protein.Names
A0A096LP01	SIM26_HUMAN
A0AV96	RBM47_HUMAN
A0AVT1	UBA6_HUMAN
A0FGR8	ESYT2_HUMAN
A0JNW5	UH1BL_HUMAN
A0MZ66	SHOT1_HUMAN
A0PJW6	TM223_HUMAN
A1A4S6	RHG10_HUMAN
A1L0T0	HACL2_HUMAN
A1L170	CA226_HUMAN
A1L188	NDUF8_HUMAN
A1L390	PKHG3_HUMAN
A2A288	ZC12D_HUMAN
A2RRP1	NBAS_HUMAN
A2RUS2	DEND3_HUMAN
A2VDJ0	T131L_HUMAN
A3KMH1	VWA8_HUMAN
A3KN83	SBNO1_HUMAN
A4D1E9	GTPBA_HUMAN
A4D1P6	WDR91_HUMAN
A4D1S0	KLRG2_HUMAN
A5D8V6	VP37C_HUMAN
A5PLL7	PDES1_HUMAN
A5PLN9	TPC13_HUMAN
A5YKK6	CNOT1_HUMAN
A6H8Y1	BDP1_HUMAN
A6NC98	CC88B_HUMAN
A6NDG6	PGP_HUMAN
A6NDU8	CE051_HUMAN
A6NED2	RCCD1_HUMAN
A6NFI3	ZN316_HUMAN
A6NHR9	SMHD1_HUMAN
A6NIH7	U119B_HUMAN
A6NJ78	MET15_HUMAN
A6NJG2	SWAHD_HUMAN
A6NK58	LIPT2_HUMAN
A7E2V4	ZSWM8_HUMAN
A7KAX9	RHG32_HUMAN
A8CG34	P121C_HUMAN
A8MTT3	CEBOS_HUMAN
A8MVS5	HIDE1_HUMAN
A8MVW0	F1712_HUMAN
A8MXV4	NUD19_HUMAN
A9UHW6	MI4GD_HUMAN
B0I1T2	MYO1G_HUMAN
B7ZBB8	PP13G_HUMAN
C9J7I0	UMAD1_HUMAN
C9JLW8	MCRI1_HUMAN
E9PAV3	NACAM_HUMAN
E9PRG8	CK098_HUMAN
F2Z333	FND10_HUMAN
L0R6Q1	S35U4_HUMAN
L0R819	ASURF_HUMAN
L0R8F8	MIDUO_HUMAN
O00115	DNS2A_HUMAN
O00116	ADAS_HUMAN
O00124	UBXN8_HUMAN
O00139	KIF2A_HUMAN
O00142	KITM_HUMAN
O00148	DX39A_HUMAN
O00151	PDLI1_HUMAN
O00154	BACH_HUMAN
O00159	MYO1C_HUMAN
O00160	MYO1F_HUMAN
O00161	SNP23_HUMAN
O00165	HAX1_HUMAN
O00170	AIP_HUMAN
O00178	GTPB1_HUMAN
O00182	LEG9_HUMAN
O00186	STXB3_HUMAN
O00189	AP4M1_HUMAN
O00193	SMAP_HUMAN
O00203	AP3B1_HUMAN
O00214	LEG8_HUMAN
O00217	NDUS8_HUMAN
O00220	TR10A_HUMAN
O00221	IKBE_HUMAN
O00231	PSD11_HUMAN
O00232	PSD12_HUMAN
O00233	PSMD9_HUMAN
O00241	SIRB1_HUMAN
O00244	ATOX1_HUMAN
O00257	CBX4_HUMAN
O00264	PGRC1_HUMAN
O00267	SPT5H_HUMAN
O00268	TAF4_HUMAN
O00273	DFFA_HUMAN
O00287	RFXAP_HUMAN
O00291	HIP1_HUMAN
O00299	CLIC1_HUMAN
O00303	EIF3F_HUMAN
O00308	WWP2_HUMAN
O00329	PK3CD_HUMAN
O00330	ODPX_HUMAN
O00391	QSOX1_HUMAN
O00399	DCTN6_HUMAN
O00400	ACATN_HUMAN
O00410	IPO5_HUMAN
O00411	RPOM_HUMAN
O00418	EF2K_HUMAN
O00422	SAP18_HUMAN
O00429	DNM1L_HUMAN
O00442	RTCA_HUMAN
O00443	P3C2A_HUMAN
O00453	LST1_HUMAN
O00458	IFRD1_HUMAN
O00459	P85B_HUMAN
O00461	GOLI4_HUMAN
O00462	MANBA_HUMAN
O00468	AGRIN_HUMAN
O00469	PLOD2_HUMAN
O00471	EXOC5_HUMAN
O00483	NDUA4_HUMAN
O00487	PSDE_HUMAN
O00488	ZN593_HUMAN
O00499	BIN1_HUMAN
O00505	IMA4_HUMAN
O00506	STK25_HUMAN
O00522	KRIT1_HUMAN
O00541	PESC_HUMAN
O00559	RCAS1_HUMAN
O00560	SDCB1_HUMAN
O00566	MPP10_HUMAN
O00567	NOP56_HUMAN
O00571	DDX3X_HUMAN
O00584	RNT2_HUMAN
O00592	PODXL_HUMAN
O00625	PIR_HUMAN
O00629	IMA3_HUMAN
O00635	TRI38_HUMAN
O00743	PPP6_HUMAN
O00746	NDKM_HUMAN
O00748	EST2_HUMAN
O00754	MA2B1_HUMAN
O00762	UBE2C_HUMAN
O00764	PDXK_HUMAN
O00767	SCD_HUMAN
O14492	SH2B2_HUMAN
O14497	ARI1A_HUMAN
O14521	DHSD_HUMAN
O14523	C2C2L_HUMAN
O14524	NEMP1_HUMAN
